elementcd,enddate,ordinal,storedunitcd,element_name,dataprecision,stationtriplet,begindate,duration,originalunitcd,datasource,flag,value,date,snowyeardate,snowyear,nthdayofyear
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,4.0,2004-10-24,2004-01-25,2004,24
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,3.0,2004-10-25,2004-01-26,2004,25
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,2.0,2004-10-26,2004-01-27,2004,26
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,9.0,2004-10-27,2004-01-28,2004,27
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,9.0,2004-10-28,2004-01-29,2004,28
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,7.0,2004-10-29,2004-01-30,2004,29
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,7.0,2004-10-30,2004-01-31,2004,30
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,6.0,2004-10-31,2004-02-01,2004,31
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,6.0,2004-11-01,2004-02-02,2004,32
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,5.0,2004-11-02,2004-02-03,2004,33
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,4.0,2004-11-03,2004-02-04,2004,34
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,8.0,2004-11-04,2004-02-05,2004,35
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,7.0,2004-11-05,2004-02-06,2004,36
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,5.0,2004-11-06,2004-02-07,2004,37
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,5.0,2004-11-07,2004-02-08,2004,38
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,5.0,2004-11-08,2004-02-09,2004,39
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,5.0,2004-11-09,2004-02-10,2004,40
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,5.0,2004-11-10,2004-02-11,2004,41
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,5.0,2004-11-11,2004-02-12,2004,42
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,2.0,2004-11-12,2004-02-13,2004,43
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,3.0,2004-11-13,2004-02-14,2004,44
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,1.0,2004-11-14,2004-02-15,2004,45
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,1.0,2004-11-15,2004-02-16,2004,46
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,1.0,2004-11-16,2004-02-17,2004,47
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,3.0,2004-11-17,2004-02-18,2004,48
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,2.0,2004-11-18,2004-02-19,2004,49
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,2.0,2004-11-19,2004-02-20,2004,50
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,2.0,2004-11-20,2004-02-21,2004,51
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,3.0,2004-11-21,2004-02-22,2004,52
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,2.0,2004-11-22,2004-02-23,2004,53
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,3.0,2004-11-23,2004-02-24,2004,54
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,3.0,2004-11-24,2004-02-25,2004,55
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,2.0,2004-11-25,2004-02-26,2004,56
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,3.0,2004-11-26,2004-02-27,2004,57
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,5.0,2004-11-27,2004-02-28,2004,58
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,5.0,2004-11-28,2004-02-29,2004,59
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,5.0,2004-11-29,2004-03-01,2004,60
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,5.0,2004-11-30,2004-03-02,2004,61
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,5.0,2004-12-01,2004-03-03,2004,62
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,E,6.0,2004-12-02,2004-03-04,2004,63
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,6.0,2004-12-03,2004-03-05,2004,64
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,6.0,2004-12-04,2004-03-06,2004,65
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,5.0,2004-12-05,2004-03-07,2004,66
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,E,5.0,2004-12-06,2004-03-08,2004,67
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,E,17.0,2004-12-07,2004-03-09,2004,68
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,20.0,2004-12-08,2004-03-10,2004,69
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,36.0,2004-12-09,2004-03-11,2004,70
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,30.0,2004-12-10,2004-03-12,2004,71
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,26.0,2004-12-11,2004-03-13,2004,72
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,24.0,2004-12-12,2004-03-14,2004,73
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,24.0,2004-12-13,2004-03-15,2004,74
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,22.0,2004-12-14,2004-03-16,2004,75
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,22.0,2004-12-15,2004-03-17,2004,76
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,22.0,2004-12-16,2004-03-18,2004,77
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,23.0,2004-12-17,2004-03-19,2004,78
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,21.0,2004-12-18,2004-03-20,2004,79
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,20.0,2004-12-19,2004-03-21,2004,80
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,20.0,2004-12-20,2004-03-22,2004,81
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,20.0,2004-12-21,2004-03-23,2004,82
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,21.0,2004-12-22,2004-03-24,2004,83
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,21.0,2004-12-23,2004-03-25,2004,84
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,21.0,2004-12-24,2004-03-26,2004,85
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,21.0,2004-12-25,2004-03-27,2004,86
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,20.0,2004-12-26,2004-03-28,2004,87
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,20.0,2004-12-27,2004-03-29,2004,88
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,20.0,2004-12-28,2004-03-30,2004,89
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,23.0,2004-12-29,2004-03-31,2004,90
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,E,26.0,2004-12-30,2004-04-01,2004,91
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,27.0,2004-12-31,2004-04-02,2004,92
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,E,31.0,2005-01-01,2004-04-03,2004,93
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,E,36.0,2005-01-02,2004-04-04,2004,94
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,E,37.0,2005-01-03,2004-04-05,2004,95
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,34.0,2005-01-04,2004-04-06,2004,96
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,E,32.0,2005-01-05,2004-04-07,2004,97
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,32.0,2005-01-06,2004-04-08,2004,98
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,31.0,2005-01-07,2004-04-09,2004,99
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,37.0,2005-01-08,2004-04-10,2004,100
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,40.0,2005-01-09,2004-04-11,2004,101
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,40.0,2005-01-10,2004-04-12,2004,102
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,39.0,2005-01-11,2004-04-13,2004,103
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,38.0,2005-01-12,2004-04-14,2004,104
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,38.0,2005-01-13,2004-04-15,2004,105
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,37.0,2005-01-14,2004-04-16,2004,106
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,36.0,2005-01-15,2004-04-17,2004,107
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,35.0,2005-01-16,2004-04-18,2004,108
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,34.0,2005-01-17,2004-04-19,2004,109
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,33.0,2005-01-18,2004-04-20,2004,110
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,33.0,2005-01-19,2004-04-21,2004,111
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,33.0,2005-01-20,2004-04-22,2004,112
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,32.0,2005-01-21,2004-04-23,2004,113
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,32.0,2005-01-22,2004-04-24,2004,114
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,32.0,2005-01-23,2004-04-25,2004,115
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,32.0,2005-01-24,2004-04-26,2004,116
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,31.0,2005-01-25,2004-04-27,2004,117
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,31.0,2005-01-26,2004-04-28,2004,118
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,30.0,2005-01-27,2004-04-29,2004,119
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,30.0,2005-01-28,2004-04-30,2004,120
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,32.0,2005-01-29,2004-05-01,2004,121
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,33.0,2005-01-30,2004-05-02,2004,122
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,32.0,2005-01-31,2004-05-03,2004,123
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,32.0,2005-02-01,2004-05-04,2004,124
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,32.0,2005-02-02,2004-05-05,2004,125
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,31.0,2005-02-03,2004-05-06,2004,126
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,31.0,2005-02-04,2004-05-07,2004,127
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,31.0,2005-02-05,2004-05-08,2004,128
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,31.0,2005-02-06,2004-05-09,2004,129
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,34.0,2005-02-07,2004-05-10,2004,130
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,35.0,2005-02-08,2004-05-11,2004,131
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,34.0,2005-02-09,2004-05-12,2004,132
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,34.0,2005-02-10,2004-05-13,2004,133
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,34.0,2005-02-11,2004-05-14,2004,134
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,33.0,2005-02-12,2004-05-15,2004,135
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,33.0,2005-02-13,2004-05-16,2004,136
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,35.0,2005-02-14,2004-05-17,2004,137
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,35.0,2005-02-15,2004-05-18,2004,138
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,35.0,2005-02-16,2004-05-19,2004,139
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,35.0,2005-02-17,2004-05-20,2004,140
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,34.0,2005-02-18,2004-05-21,2004,141
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,32.0,2005-02-19,2004-05-22,2004,142
